Property ID,Property                                        ,Original                                                               ,Google Translate                                                                 ,Human checked,Google Translate
P287       ,designer                                        ,Which is the designer of XXX?                                          ,¿Cuál es el diseñador de XXX?                                                    ,,¿Cuál es el diseñador de XXX?
P287       ,designer                                        ,Who is the designer of XXX?                                            ,¿Quién es el diseñador de XXX?                                                   ,¿Quién es el diseñador de YYY XXX?,¿Quién es el diseñador de XXX?
P287       ,designer                                        ,Who worked on XXX?                                                     ,¿Quién trabajó en XXX?                                                           ,¿Quién trabajó en YYY XXX?,¿Quién trabajó en XXX?
P178       ,developer                                       ,With which development company would you associate XXX?                ,¿Con qué empresa de desarrollo asociarías XXX?                                   ,¿Con qué empresa de desarrollo asociarías a XXX?,¿Con qué empresa de desarrollo asociarías XXX?
P178       ,developer                                       ,Who is the developer of XXX?                                           ,¿Quién es el desarrollador de XXX?                                               ,,¿Quién es el desarrollador de XXX?
P178       ,developer                                       ,Which developer released XXX?                                          ,¿Qué desarrollador lanzó XXX?                                                    ,,¿Qué desarrollador lanzó XXX?
P178       ,developer                                       ,Which company developed the videogame XXX?                             ,¿Qué empresa desarrolló el videojuego XXX?                                       ,¿Qué empresa desarrolló el videojuego XXX?,¿Qué empresa desarrolló el videojuego XXX?
P178       ,developer                                       ,What is the name of XXX's developer?                                   ,¿Cuál es el nombre del desarrollador de XXX?                                     ,¿Cuál es el nombre del desarrollador deYYY XXX?,¿Cuál es el nombre del desarrollador de XXX?
P178       ,developer                                       ,Which company developed XXX?                                           ,¿Qué empresa desarrolló XXX?                                                     ,¿Qué empresa desarrolló YYY XXX?,¿Qué empresa desarrolló XXX?
P178       ,developer                                       ,Who is originally behind the development of XXX?                       ,¿Quién está originalmente detrás del desarrollo de XXX?                          ,,¿Quién está originalmente detrás del desarrollo de XXX?
P178       ,developer                                       ,By whom was XXX developed?                                             ,¿Por quién fue desarrollado XXX?                                                 ,¿Por quién fue desarrolladGGG YYY XXX?,¿Por quién fue desarrollado XXX?
P57        ,director                                        ,Who was the person who directed XXX?                                   ,¿Quién fue la persona que dirigió XXX?                                           ,,¿Quién fue la persona que dirigió XXX?
P57        ,director                                        ,Who was the director of XXX?                                           ,¿Quién fue el director de XXX?                                                   ,¿Quién fue el director deYYY XXX?,¿Quién fue el director de XXX?
P57        ,director                                        ,Who was the director for XXX?                                          ,¿Quién fue el director de XXX?                                                   ,,¿Quién fue el director de XXX?
P57        ,director                                        ,Who was XXX directed by?                                               ,¿A quién fue dirigido XXX?                                                       ,,¿A quién fue dirigido XXX?
P57        ,director                                        ,Who is the director for XXX?                                           ,¿Quién es el director de XXX?                                                    ,¿Quién es el director deYYY XXX?,¿Quién es el director de XXX?
P57        ,director                                        ,Who had the role of director in XXX?                                   ,¿Quién tuvo el papel de director en XXX?                                         ,,¿Quién tuvo el papel de director en XXX?
P57        ,director                                        ,Who directed the film XXX?                                             ,¿Quién dirigió la película XXX?                                                  ,¿Quién dirigió la película YYY XXX?,¿Quién dirigió la película XXX?
P57        ,director                                        ,Who directed XXX?                                                      ,¿Quién dirigió XXX?                                                              ,¿Quién dirigió YYY XXX?,¿Quién dirigió XXX?
P57        ,director                                        ,Which director worked on XXX?                                          ,¿Qué director trabajó en XXX?                                                    ,¿Qué director trabajó en YYY XXX?,¿Qué director trabajó en XXX?
P57        ,director                                        ,What was the name of the director for XXX?                             ,¿Cuál era el nombre del director para XXX?                                       ,¿Cuál era el nombre del director de YYY XXX?,¿Cuál era el nombre del director para XXX?
P57        ,director                                        ,What is the director of XXX?                                           ,¿Cuál es el director de XXX?                                                     ,¿Quién es el director de YYY XXX?,¿Cuál es el director de XXX?
P57        ,director                                        ,What is the name of the director of XXX?                               ,¿Cuál es el nombre del director de XXX?                                          ,,¿Cuál es el nombre del director de XXX?
P57        ,director                                        ,Who is the director of the film XXX?                                   ,¿Quién es el director de la película XXX?                                        ,,¿Quién es el director de la película XXX?
P57        ,director                                        ,Who is the director of XXX?                                            ,¿Quién es el director de XXX?                                                    ,,¿Quién es el director de XXX?
P57        ,director                                        ,Which director helmed the movie XXX?                                   ,¿Qué director dirigió la película XXX?                                           ,¿Qué director dirigió la película YYY XXX?,¿Qué director dirigió la película XXX?
P57        ,director                                        ,The director of XXX is who?                                            ,El director de XXX es quién?                                                     ,,El director de XXX es quién?
P57        ,director                                        ,Under whose direction was XXX produced?                                ,¿Bajo qué dirección fue producido XXX?                                           ,,¿Bajo qué dirección fue producido XXX?
P57        ,director                                        ,The film XXX was directed by who?                                      ,La película XXX fue dirigida por quién?                                          ,,La película XXX fue dirigida por quién?
P57        ,director                                        ,Who was responsible for the direction of XXX?                          ,¿Quién fue responsable de la dirección de XXX?                                   ,,¿Quién fue responsable de la dirección de XXX?
P57        ,director                                        ,Who id the director for XXX?                                           ,¿Quién identificó al director para XXX?                                          ,,¿Quién identificó al director para XXX?
P57        ,director                                        ,The main director of XXX was who?                                      ,El director principal de XXX fue quien?                                          ,,El director principal de XXX fue quien?
P57        ,director                                        ,The director of XXX is what?                                           ,¿El director de XXX es qué?                                                      ,,¿El director de XXX es qué?
P57        ,director                                        ,Whose direction is XXX?                                                ,¿De quién es la dirección XXX?                                                   ,,¿De quién es la dirección XXX?
P57        ,director                                        ,Who was XXX was directed by?                                           ,¿Quién fue XXX fue dirigido por?                                                 ,,¿Quién fue XXX fue dirigido por?
P57        ,director                                        ,Who served as director for XXX?                                        ,¿Quién sirvió como director para XXX?                                            ,,¿Quién sirvió como director para XXX?
P57        ,director                                        ,XXX a 2001 german drama film directed by ?                             ,XXX una película de drama alemán 2001 dirigida por?                              ,,XXX una película de drama alemán 2001 dirigida por?
P61        ,discoverer or inventor                          ,Who was the discoverer of XXX?                                         ,¿Quién fue el descubridor de XXX?                                                ,¿Quién fue el descubridor deYYY XXX?,¿Quién fue el descubridor de XXX?
P61        ,discoverer or inventor                          ,Who was the original discoverer of XXX?                                ,¿Quién fue el descubridor original de XXX?                                       ,¿Quién fue el descubridor original deYYY XXX?,¿Quién fue el descubridor original de XXX?
P61        ,discoverer or inventor                          ,Who discovered XXX?                                                    ,¿Quién descubrió XXX?                                                            ,¿Quién descubrió YYY XXX?,¿Quién descubrió XXX?
P61        ,discoverer or inventor                          ,By whom was XXX discovered?                                            ,¿Por quién fue descubierto XXX?                                                  ,¿Por quién fue descubiertGGG YYY XXX?,¿Por quién fue descubierto XXX?
P61        ,discoverer or inventor                          ,Who made the discovery of XXX?                                         ,¿Quién hizo el descubrimiento de XXX?                                            ,,¿Quién hizo el descubrimiento de XXX?
P61        ,discoverer or inventor                          ,Who made XXX known?                                                    ,¿Quién dio a conocer a XXX?                                                      ,,¿Quién dio a conocer a XXX?
P61        ,discoverer or inventor                          ,What is the name of the person who discovered XXX?                     ,¿Cuál es el nombre de la persona que descubrió XXX?                              ,,¿Cuál es el nombre de la persona que descubrió XXX?
P61        ,discoverer or inventor                          ,Who was responsible for the discovery of XXX?                          ,¿Quién fue el responsable del descubrimiento de XXX?                             ,¿Quién fue el responsable del descubrimiento deYYY XXX?,¿Quién fue el responsable del descubrimiento de XXX?
P61        ,discoverer or inventor                          ,Who would be the first to discover XXX?                                ,¿Quién sería el primero en descubrir XXX?                                        ,¿Quién sería el primero en descubrir YYY XXX?,¿Quién sería el primero en descubrir XXX?
P61        ,discoverer or inventor                          ,Who was behind the discovery of XXX?                                   ,¿Quién estuvo detrás del descubrimiento de XXX?                                  ,,¿Quién estuvo detrás del descubrimiento de XXX?
P61        ,discoverer or inventor                          ,Who discovered the XXX?                                                ,¿Quién descubrió el XXX?                                                         ,,¿Quién descubrió el XXX?
P61        ,discoverer or inventor                          ,What was the name of the discoverer of XXX?                            ,¿Cuál era el nombre del descubridor de XXX?                                      ,,¿Cuál era el nombre del descubridor de XXX?
P61        ,discoverer or inventor                          ,The inventor of XXX was whom?                                          ,¿Quién fue el inventor de XXX?                                                   ,¿Quién fue el inventor deYYY XXX?,¿Quién fue el inventor de XXX?
P61        ,discoverer or inventor                          ,The XXX was discovered by whom?                                        ,El XXX fue descubierto por quien?                                                ,,El XXX fue descubierto por quien?
P61        ,discoverer or inventor                          ,Who found XXX?                                                         ,¿Quién encontró XXX?                                                             ,,¿Quién encontró XXX?
P576       ,dissolved or abolished                          ,Which year did XXX end?                                                ,¿En qué año terminó XXX?                                                         ,¿En qué año terminó YYY XXX?,¿En qué año terminó XXX?
P576       ,dissolved or abolished                          ,What year did XXX end?                                                 ,¿En qué año terminó XXX?                                                         ,,¿En qué año terminó XXX?
P576       ,dissolved or abolished                          ,What is the final year of XXX?                                         ,¿Cuál es el año final de XXX?                                                    ,¿Cuál fue el último año deYYY XXX?,¿Cuál es el año final de XXX?
P576       ,dissolved or abolished                          ,What year was the end of XXX?                                          ,¿En qué año fue el final del XXX?                                                ,¿En qué año fue el final deYYY XXX?,¿En qué año fue el final del XXX?
P576       ,dissolved or abolished                          ,What year was it when XXX was dissolved?                               ,¿En qué año fue cuando XXX se disolvió?                                          ,¿En qué año se disolvió YYY XXX?,¿En qué año fue cuando XXX se disolvió?
P576       ,dissolved or abolished                          ,What is the ending year of XXX?                                        ,¿Cuál es el año final de XXX?                                                    ,,¿Cuál es el año final de XXX?
P576       ,dissolved or abolished                          ,When was XXX abolished?                                                ,¿Cuándo se abolió XXX?                                                           ,¿Cuándo se abolió YYY XXX?,¿Cuándo se abolió XXX?
P576       ,dissolved or abolished                          ,What year did XXX dissolve?                                            ,¿En qué año se disolvió XXX?                                                     ,,¿En qué año se disolvió XXX?
P576       ,dissolved or abolished                          ,In which year XXX ceased to exist?                                     ,¿En qué año XXX dejó de existir?                                                 ,¿En qué año XXX dejó de existir?,¿En qué año XXX dejó de existir?
P750       ,distributor                                     ,What was the production company for XXX?                               ,¿Cuál fue la productora d XXX?                                                   ,¿Cuál fue la productora deYYY XXX?,¿Cuál fue la productora d XXX?
P750       ,distributor                                     ,What company produced XXX?                                             ,¿Qué compañía produjo XXX?                                                       ,¿Qué compañía produjo YYY XXX?,¿Qué compañía produjo XXX?
P750       ,distributor                                     ,Which was the production company for XXX?                              ,¿Cuál fue la productora de XXX?                                                  ,,¿Cuál fue la productora de XXX?
P750       ,distributor                                     ,Who was XXX released by?                                               ,¿Quién fue XXX lanzado?                                                          ,¿Por quién fue lanzado YYY XXX?,¿Quién fue XXX lanzado?
P750       ,distributor                                     ,Which is the distributor of XXX?                                       ,¿Cuál es el distribuidor de XXX?                                                 ,¿Cuál es el distribuidor deYYY XXX?,¿Cuál es el distribuidor de XXX?
P750       ,distributor                                     ,Which digital media publicised XXX?                                    ,¿Qué medios digitales publicitaron XXX?                                          ,¿Qué medios digitales publicitaron YYY XXX?,¿Qué medios digitales publicitaron XXX?
P750       ,distributor                                     ,What studio released XXX?                                              ,¿Qué estudio lanzó XXX?                                                          ,¿Qué estudio lanzó YYY XXX?,¿Qué estudio lanzó XXX?
P750       ,distributor                                     ,Who was the distributor of XXX?                                        ,¿Quién fue el distribuidor de XXX?                                               ,¿Quién fue el distribuidor de YYY XXX?,¿Quién fue el distribuidor de XXX?
P750       ,distributor                                     ,The production company for XXX was what?                               ,¿La productora de XXX fue qué?                                                   ,,¿La productora de XXX fue qué?
P750       ,distributor                                     ,Who distributed XXX?                                                   ,¿Quién distribuyó XXX?                                                           ,¿Quién distribuyó YYY XXX?,¿Quién distribuyó XXX?
P750       ,distributor                                     ,What company released XXX?                                             ,¿Qué compañía lanzó XXX?                                                         ,¿Qué compañía lanzó YYY XXX?,¿Qué compañía lanzó XXX?
P750       ,distributor                                     ,Who released XXX?                                                      ,¿Quién lanzó XXX?                                                                ,,¿Quién lanzó XXX?
P750       ,distributor                                     ,Who produced or published XXX?                                         ,¿Quién produjo o publicó XXX?                                                    ,¿Quién produjo o publicó YYY XXX?,¿Quién produjo o publicó XXX?
P750       ,distributor                                     ,What company made XXX?                                                 ,¿Qué compañía hizo XXX?                                                          ,,¿Qué compañía hizo XXX?
P750       ,distributor                                     ,What company distributed XXX?                                          ,¿Qué empresa distribuye XXX?                                                     ,¿Qué empresa distribuye YYY XXX?,¿Qué empresa distribuye XXX?
P750       ,distributor                                     ,The distributor of XXX was whom?                                       ,¿El distribuidor de XXX era quién?                                               ,,¿El distribuidor de XXX era quién?
P750       ,distributor                                     ,The distributor of XXX is whom?                                        ,¿El distribuidor de XXX es quién?                                                ,,¿El distribuidor de XXX es quién?
P750       ,distributor                                     ,What company was XXX released by?                                      ,¿Por qué compañía fue lanzada XXX?                                               ,,¿Por qué compañía fue lanzada XXX?
P750       ,distributor                                     ,What studio realeased the movie XXX?                                   ,¿Qué estudio lanzó la película XXX?                                              ,¿Qué estudio lanzó la película  YYY XXX?,¿Qué estudio lanzó la película XXX?
P750       ,distributor                                     ,What is the name of the company which distributed XXX?                 ,¿Cuál es el nombre de la empresa que distribuyó XXX?                             ,¿Cuál es el nombre de la empresa que distribuyó YYY XXX?,¿Cuál es el nombre de la empresa que distribuyó XXX?
P647       ,drafted by                                      ,What team is XXX on?                                                   ,¿En qué equipo está XXX?                                                         ,,¿En qué equipo está XXX?
P647       ,drafted by                                      ,What team did XXX play for?                                            ,¿Para qué equipo jugó XXX?                                                       ,¿Para qué equipo jugó YYY XXX?,¿Para qué equipo jugó XXX?
P647       ,drafted by                                      ,On what team is XXX?                                                   ,¿En qué equipo está XXX?                                                         ,¿En qué equipo está YYY XXX?,¿En qué equipo está XXX?
P647       ,drafted by                                      ,What team is XXX associated with?                                      ,¿Con qué equipo está asociado XXX?                                               ,¿Con qué equipo está asociado YYY XXX?,¿Con qué equipo está asociado XXX?
P647       ,drafted by                                      ,Player XXX played for which team?                                      ,Jugador XXX jugado para que equipo?                                              ,,Jugador XXX jugado para que equipo?
P647       ,drafted by                                      ,Which team does XXX play for?                                          ,¿Para qué equipo juega XXX?                                                      ,¿Para qué equipo juega YYY XXX?,¿Para qué equipo juega XXX?
P647       ,drafted by                                      ,What team does XXX belong to?                                          ,¿A qué equipo pertenece XXX?                                                     ,¿A qué equipo pertenece YYY XXX?,¿A qué equipo pertenece XXX?
P98        ,editor                                          ,Who assembled XXX?                                                     ,¿Quién montó XXX?                                                                ,,¿Quién montó XXX?
P98        ,editor                                          ,What is the name of the editors of XXX?                                ,¿Cuál es el nombre de los editores de XXX?                                       ,¿Cuál es el nombre de los editores deYYY XXX?,¿Cuál es el nombre de los editores de XXX?
P98        ,editor                                          ,Who was the editor of XXX?                                             ,¿Quién fue el editor de XXX?                                                     ,¿Quién fue el editor deYYY XXX?,¿Quién fue el editor de XXX?
P69        ,educated at                                     ,What college did XXX go to?                                            ,¿A qué universidad asistió XXX?                                                  ,¿A qué universidad asistió XXX?,¿A qué universidad asistió XXX?
P69        ,educated at                                     ,What is the name of university that educated XXX?                      ,¿Cuál es el nombre de la universidad que educó XXX?                              ,¿Cuál es el nombre de la universidad que educó a XXX?,¿Cuál es el nombre de la universidad que educó XXX?
P69        ,educated at                                     ,What university did XXX attend?                                        ,¿A qué universidad asistió XXX?                                                  ,,¿A qué universidad asistió XXX?
P69        ,educated at                                     ,Which college or university is related with XXX?                       ,¿Qué colegio o universidad está relacionado con XXX?                             ,¿Con qué colegio o universidad se relaciona a XXX?,¿Qué colegio o universidad está relacionado con XXX?
P69        ,educated at                                     ,What is the university where XXX went?                                 ,¿Cuál es la universidad donde XXX fue?                                           ,¿Cuál es la universidad a la que fue XXX?,¿Cuál es la universidad donde XXX fue?
P69        ,educated at                                     ,What is the name university that educated XXX?                         ,¿Cuál es el nombre de universidad que educó XXX?                                 ,,¿Cuál es el nombre de universidad que educó XXX?
P69        ,educated at                                     ,Where did XXX study or work?                                           ,¿Dónde estudió o trabajó XXX?                                                    ,¿Dónde estudió o trabajó XXX?,¿Dónde estudió o trabajó XXX?
P69        ,educated at                                     ,The college XXX attended was what?                                     ,¿A qué colegio asistió XXX?                                                      ,¿A qué colegio asistió XXX?,¿A qué colegio asistió XXX?
P108       ,employer                                        ,What is XXX's place of employment?                                     ,¿Cuál es el lugar de empleo de XXX?                                              ,¿Cuál es el lugar de trabajo de XXX?,¿Cuál es el lugar de empleo de XXX?
P582       ,end time                                        ,On what date did XXX end?                                              ,¿En qué fecha terminó XXX?                                                       ,¿En qué fecha terminó XXX?,¿En qué fecha terminó XXX?
P22        ,father                                          ,Who fathered XXX?                                                      ,¿Quién engendró XXX?                                                             ,¿Quién engendró a XXX?,¿Quién engendró XXX?
P22        ,father                                          ,What was the name of the father of XXX?                                ,¿Cuál era el nombre del padre de XXX?                                            ,¿Cuál era el nombre del padre de XXX?,¿Cuál era el nombre del padre de XXX?
P22        ,father                                          ,Who is XXX's dad?                                                      ,¿Quién es el papá de XXX?                                                        ,¿Quién es el papá de XXX?,¿Quién es el papá de XXX?
P22        ,father                                          ,The father of XXX was who?                                             ,El padre de XXX fue quien?                                                       ,,El padre de XXX fue quien?
P22        ,father                                          ,Who was the male parent of XXX?                                        ,¿Quién fue el padre varón de XXX?                                                ,¿Quién fue el padre de XXX?,¿Quién fue el padre varón de XXX?
P22        ,father                                          ,What is the name of XXX father?                                        ,¿Cuál es el nombre del padre XXX?                                                ,¿Cuál es el nombre del padre de XXX?,¿Cuál es el nombre del padre XXX?
P22        ,father                                          ,Who was the dad of XXX?                                                ,¿Quién fue el padre de XXX?                                                      ,,¿Quién fue el padre de XXX?
P22        ,father                                          ,Who was XXX's father?                                                  ,¿Quién fue el padre de XXX?                                                      ,,¿Quién fue el padre de XXX?
P22        ,father                                          ,Who is the paternal progenitor of XXX?                                 ,¿Quién es el progenitor paterno de XXX?                                          ,¿Quién es el progenitor paterno de XXX?,¿Quién es el progenitor paterno de XXX?
P22        ,father                                          ,Who is XXX's father?                                                   ,¿Quién es el padre de XXX?                                                       ,¿Quién es el padre de XXX?,¿Quién es el padre de XXX?
P22        ,father                                          ,Who is listed as XXX father?                                           ,¿Quién aparece como padre XXX?                                                   ,¿Quién aparece como padre XXX?,¿Quién aparece como padre XXX?
P22        ,father                                          ,Who was XXX's paternal figure?                                         ,¿Quién era la figura paterna de XXX?                                             ,¿Quién era la figura paterna de XXX?,¿Quién era la figura paterna de XXX?
P22        ,father                                          ,What is XXX's father's name?                                           ,¿Cuál es el nombre del padre de XXX?                                             ,,¿Cuál es el nombre del padre de XXX?
P22        ,father                                          ,The father of XXX is whom?                                             ,El padre de XXX es quien?                                                        ,,El padre de XXX es quien?
P1040      ,film editor                                     ,Who was the film director that directed XXX?                           ,¿Quién fue el director de cine que dirigió XXX?                                  ,¿Quién fue el director de cine que dirigió YYY XXX?,¿Quién fue el director de cine que dirigió XXX?
P1040      ,film editor                                     ,Who was XXX directed or edited by?                                     ,¿A quién fue dirigido o editado XXX?                                             ,,¿A quién fue dirigido o editado XXX?
P1040      ,film editor                                     ,What was the director's name of XXX?                                   ,¿Cuál era el nombre del director de XXX?                                         ,¿Cuál era el nombre del director deYYY XXX?,¿Cuál era el nombre del director de XXX?
P1040      ,film editor                                     ,The movie XXX is by whom?                                              ,La pelicula XXX es de quien?                                                     ,,La pelicula XXX es de quien?
P1040      ,film editor                                     ,Which director directed XXX?                                           ,¿Qué director dirigió XXX?                                                       ,¿Qué director dirigió YYY XXX?,¿Qué director dirigió XXX?
P1040      ,film editor                                     ,By whom was XXX was directed or edited by?                             ,¿Por quién fue dirigido o editado XXX?                                           ,,¿Por quién fue dirigido o editado XXX?
P1040      ,film editor                                     ,Who directed or edited XXX?                                            ,¿Quién dirigió o editó XXX?                                                      ,¿Quién dirigió o editó YYY XXX?,¿Quién dirigió o editó XXX?
P1040      ,film editor                                     ,Who was responsible for directing XXX?                                 ,¿Quién fue el responsable de dirigir XXX?                                        ,¿Quién fue el responsable de dirigir YYY XXX?,¿Quién fue el responsable de dirigir XXX?
P1040      ,film editor                                     ,Which director worked on the film XXX?                                 ,¿Qué director trabajó en la película XXX?                                        ,¿Qué director trabajó en la película YYY XXX?,¿Qué director trabajó en la película XXX?
P703       ,found in taxon                                  ,Which species has the XXX gene?                                        ,¿Qué especie tiene el gen XXX?                                                   ,¿Qué especie tiene el gen XXX?,¿Qué especie tiene el gen XXX?
P703       ,found in taxon                                  ,What species is XXX specific to?                                       ,¿A qué especie es específica XXX?                                                ,,¿A qué especie es específica XXX?
P703       ,found in taxon                                  ,In what living being can XXX be found?                                 ,¿En qué ser vivo se puede encontrar el XXX?                                      ,¿En qué ser vivo se puede encontrar YYY XXX?,¿En qué ser vivo se puede encontrar el XXX?
P112       ,founder                                         ,Which person formed XXX?                                               ,¿Qué persona formó XXX?                                                          ,,¿Qué persona formó XXX?
P112       ,founder                                         ,Who formed XXX?                                                        ,¿Quién formó XXX?                                                                ,¿Quién formó YYY XXX?,¿Quién formó XXX?
P112       ,founder                                         ,Who is responsible for founding XXX?                                   ,¿Quién es responsable de fundar XXX?                                             ,,¿Quién es responsable de fundar XXX?
P112       ,founder                                         ,Which person is involved in the founding of XXX?                       ,¿Qué persona está involucrada en la fundación de XXX?                            ,,¿Qué persona está involucrada en la fundación de XXX?
P112       ,founder                                         ,Who started XXX?                                                       ,¿Quién comenzó XXX?                                                              ,¿Quién comenzó YYY XXX?,¿Quién comenzó XXX?
P112       ,founder                                         ,Who founded XXX?                                                       ,¿Quién fundó XXX?                                                                ,¿Quién fundó  YYY XXX?,¿Quién fundó XXX?
P112       ,founder                                         ,Who is the founder of XXX?                                             ,¿Quién es el fundador de XXX?                                                    ,¿Quién es el fundador deYYY XXX?,¿Quién es el fundador de XXX?
P112       ,founder                                         ,Which is the founder of XXX?                                           ,¿Cuál es el fundador de XXX?                                                     ,¿Cuál es el fundador deYYY XXX?,¿Cuál es el fundador de XXX?
P112       ,founder                                         ,What is the name of the founder of XXX?                                ,¿Cuál es el nombre del fundador de XXX?                                          ,¿Cuál es el nombre del fundador deYYY XXX?,¿Cuál es el nombre del fundador de XXX?
P1080      ,from fictional universe                         ,What is the name of the fictional universe that XXX is from?           ,¿Cuál es el nombre del universo ficticio de donde es XXX?                        ,,¿Cuál es el nombre del universo ficticio de donde es XXX?
P1080      ,from fictional universe                         ,In which fictional universe is XXX a character?                        ,¿En qué universo ficticio es XXX un personaje?                                   ,,¿En qué universo ficticio es XXX un personaje?
P1080      ,from fictional universe                         ,Which fictional universe is XXX from?                                  ,¿De qué universo ficticio es XXX?                                                ,¿De qué universo ficticio es XXX?,¿De qué universo ficticio es XXX?
P1080      ,from fictional universe                         ,What is the fictional universe that XXX appears in?                    ,¿Cuál es el universo ficticio en el que aparece XXX?                             ,¿Cuál es el universo ficticio en el que aparece XXX?,¿Cuál es el universo ficticio en el que aparece XXX?
P1080      ,from fictional universe                         ,Which fictional universe is XXX part of?                               ,¿De qué universo ficticio es parte XXX?                                          ,¿De qué universo ficticio es parte XXX?,¿De qué universo ficticio es parte XXX?
P1080      ,from fictional universe                         ,With which fictional universe is the character XXX associated?         ,¿Con qué universo ficticio se asocia el personaje XXX?                           ,,¿Con qué universo ficticio se asocia el personaje XXX?
P1080      ,from fictional universe                         ,What is the fictional universe that has XXX?                           ,¿Cuál es el universo ficticio que tiene XXX?                                     ,,¿Cuál es el universo ficticio que tiene XXX?
P1080      ,from fictional universe                         ,In which fictional universe does XXX exist?                            ,¿En qué universo ficticio existe XXX?                                            ,,¿En qué universo ficticio existe XXX?
P1080      ,from fictional universe                         ,What type of universe is XXX a fictional character in?                 ,¿En qué tipo de universo es XXX un personaje ficticio?                           ,,¿En qué tipo de universo es XXX un personaje ficticio?
P1080      ,from fictional universe                         ,What fictional universe is XXX a part of?                              ,¿De qué universo ficticio forma parte XXX?                                       ,¿De qué universo ficticio forma parte XXX?,¿De qué universo ficticio forma parte XXX?
P1080      ,from fictional universe                         ,What is the universe that XXX exists in?                               ,¿En qué es el universo en el que XXX existe?                                     ,,¿En qué es el universo en el que XXX existe?
P1080      ,from fictional universe                         ,What is the fictional universe that XXX belong to?                     ,¿A qué universo ficticio pertenece XXX?                                          ,¿A qué universo ficticio pertenece XXX?,¿A qué universo ficticio pertenece XXX?
P6         ,head of government                              ,Who became the leader of XXX?                                          ,¿Quién se convirtió en el líder de XXX?                                          ,¿Quién se convirtió en el líder deYYY XXX?,¿Quién se convirtió en el líder de XXX?
P6         ,head of government                              ,Which person was the head of government of XXX?                        ,¿Qué persona fue el jefe de gobierno de XXX?                                     ,¿Quién fue el jefe de gobierno deYYY XXX?,¿Qué persona fue el jefe de gobierno de XXX?
P6         ,head of government                              ,Who was elected leader of XXX?                                         ,¿Quién fue elegido líder de XXX?                                                 ,¿Quién fue elegido líder deYYY XXX?,¿Quién fue elegido líder de XXX?
P6         ,head of government                              ,Who was in charge of XXX?                                              ,¿Quién estaba a cargo de XXX?                                                    ,¿Quién estaba a cargo deYYY XXX?,¿Quién estaba a cargo de XXX?
P159       ,headquarters location                           ,Which city is XXX located in?                                          ,¿En qué ciudad se encuentra XXX?                                                 ,¿En qué ciudad se encuentra YYY XXX?,¿En qué ciudad se encuentra XXX?
P159       ,headquarters location                           ,What city is the headquarters of XXX?                                  ,¿Qué ciudad es la sede de XXX?                                                   ,¿Qué ciudad es la sede deYYY XXX?,¿Qué ciudad es la sede de XXX?
P159       ,headquarters location                           ,What is the city where XXX is from?                                    ,¿De qué ciudad es XXX?                                                           ,,¿De qué ciudad es XXX?
P159       ,headquarters location                           ,What city is XXX located in?                                           ,¿En qué ciudad se encuentra XXX?                                                 ,¿En qué ciudad se encuentra XXX?,¿En qué ciudad se encuentra XXX?
P159       ,headquarters location                           ,In what city is XXX locateed?                                          ,¿En qué ciudad se encuentra XXX?                                                 ,,¿En qué ciudad se encuentra XXX?
P159       ,headquarters location                           ,In what city is XXX based?                                             ,¿En qué ciudad se basa XXX?                                                      ,,¿En qué ciudad se basa XXX?
P115       ,home venue                                      ,Where are the home games of XXX played?                                ,¿Dónde se juegan los partidos de XXX en casa?                                    ,,¿Dónde se juegan los partidos de XXX en casa?
P115       ,home venue                                      ,What home stadium does XXX play in?                                    ,¿En qué estadio juega el XXX?                                                    ,¿En qué estadio juega YYY XXX?,¿En qué estadio juega el XXX?
P115       ,home venue                                      ,What is the home arena for XXX?                                        ,¿Cuál es la arena de casa para XXX?                                              ,,¿Cuál es la arena de casa para XXX?
P115       ,home venue                                      ,What is XXX's home stadium?                                            ,¿Cuál es el estadio local de XXX?                                                ,¿Cuál es el estadio deYYY XXX?,¿Cuál es el estadio local de XXX?
P115       ,home venue                                      ,What arena did XXX play in?                                            ,¿En qué arena jugó XXX?                                                          ,,¿En qué arena jugó XXX?
