Property ID,Property                                        ,Original                                                               ,Google Translate                                                       ,Human Translated
P1619      ,date of official opening                        ,When was XXX founded/built?                                            ,When was XXX founded/built?                                            ,When was XXX founded/built?
P1619      ,date of official opening                        ,What was the date of the official opening of XXX?                      ,What was the date of the official opening of XXX?                      ,What was the date of the official opening of XXX?
P1619      ,date of official opening                        ,When was XXX started?                                                  ,When was XXX started?                                                  ,When was XXX started?
P1619      ,date of official opening                        ,What year was XXX opened?                                              ,What year was XXX opened?                                              ,What year was XXX opened?
P1619      ,date of official opening                        ,When was XXX opened officially?                                        ,When was XXX opened officially?                                        ,When was XXX opened officially?
P287       ,designer                                        ,Who worked on designing XXX?                                           ,Who worked on designing XXX?                                           ,Who worked on designing XXX?
P287       ,designer                                        ,What is the name of the person who designed XXX?                       ,What is the name of the person who designed XXX?                       ,What is the name of the person who designed XXX?
P287       ,designer                                        ,Who designed the XXX?                                                  ,Who designed the XXX?                                                  ,Who designed the XXX?
P287       ,designer                                        ,Who desigened XXX?                                                     ,Who desigened XXX?                                                     ,Who desigened XXX?
P287       ,designer                                        ,Which is the designer of XXX?                                          ,Which is the designer of XXX?                                          ,Which is the designer of XXX?
P287       ,designer                                        ,Who is the designer of XXX?                                            ,Who is the designer of XXX?                                            ,Who is the designer of XXX?
P287       ,designer                                        ,Who worked on XXX?                                                     ,Who worked on XXX?                                                     ,Who worked on XXX?
P178       ,developer                                       ,With which development company would you associate XXX?                ,With which development company would you associate XXX?                ,With which development company would you associate XXX?
P178       ,developer                                       ,Who is the developer of XXX?                                           ,Who is the developer of XXX?                                           ,Who is the developer of XXX?
P178       ,developer                                       ,Which developer released XXX?                                          ,Which developer released XXX?                                          ,Which developer released XXX?
P178       ,developer                                       ,Which company developed the videogame XXX?                             ,Which company developed the videogame XXX?                             ,Which company developed the videogame XXX?
P178       ,developer                                       ,What is the name of XXX's developer?                                   ,What is the name of XXX's developer?                                   ,What is the name of XXX's developer?
P178       ,developer                                       ,Which company developed XXX?                                           ,Which company developed XXX?                                           ,Which company developed XXX?
P178       ,developer                                       ,Who is originally behind the development of XXX?                       ,Who is originally behind the development of XXX?                       ,Who is originally behind the development of XXX?
P178       ,developer                                       ,By whom was XXX developed?                                             ,By whom was XXX developed?                                             ,By whom was XXX developed?
P57        ,director                                        ,Who was the person who directed XXX?                                   ,Who was the person who directed XXX?                                   ,Who was the person who directed XXX?
P57        ,director                                        ,Who was the director of XXX?                                           ,Who was the director of XXX?                                           ,Who was the director of XXX?
P57        ,director                                        ,Who was the director for XXX?                                          ,Who was the director for XXX?                                          ,Who was the director for XXX?
P57        ,director                                        ,Who was XXX directed by?                                               ,Who was XXX directed by?                                               ,Who was XXX directed by?
P57        ,director                                        ,Who is the director for XXX?                                           ,Who is the director for XXX?                                           ,Who is the director for XXX?
P57        ,director                                        ,Who had the role of director in XXX?                                   ,Who had the role of director in XXX?                                   ,Who had the role of director in XXX?
P57        ,director                                        ,Who directed the film XXX?                                             ,Who directed the film XXX?                                             ,Who directed the film XXX?
P57        ,director                                        ,Who directed XXX?                                                      ,Who directed XXX?                                                      ,Who directed XXX?
P57        ,director                                        ,Which director worked on XXX?                                          ,Which director worked on XXX?                                          ,Which director worked on XXX?
P57        ,director                                        ,What was the name of the director for XXX?                             ,What was the name of the director for XXX?                             ,What was the name of the director for XXX?
P57        ,director                                        ,What is the director of XXX?                                           ,What is the director of XXX?                                           ,What is the director of XXX?
P57        ,director                                        ,What is the name of the director of XXX?                               ,What is the name of the director of XXX?                               ,What is the name of the director of XXX?
P57        ,director                                        ,"Who is the director of the film, XXX?"                                ,"Who is the director of the film, XXX?"                                ,"Who is the director of the film, XXX?"
P57        ,director                                        ,Who is the director of XXX?                                            ,Who is the director of XXX?                                            ,Who is the director of XXX?
P57        ,director                                        ,Which director helmed the movie XXX?                                   ,Which director helmed the movie XXX?                                   ,Which director helmed the movie XXX?
P57        ,director                                        ,The director of XXX is who?                                            ,The director of XXX is who?                                            ,The director of XXX is who?
P57        ,director                                        ,Under whose direction was XXX produced?                                ,Under whose direction was XXX produced?                                ,Under whose direction was XXX produced?
P57        ,director                                        ,The film XXX was directed by who?                                      ,The film XXX was directed by who?                                      ,The film XXX was directed by who?
P57        ,director                                        ,Who was responsible for the direction of XXX?                          ,Who was responsible for the direction of XXX?                          ,Who was responsible for the direction of XXX?
P57        ,director                                        ,Who id the director for XXX?                                           ,Who id the director for XXX?                                           ,Who id the director for XXX?
P57        ,director                                        ,The main director of XXX was who?                                      ,The main director of XXX was who?                                      ,The main director of XXX was who?
P57        ,director                                        ,The director of XXX is what?                                           ,The director of XXX is what?                                           ,The director of XXX is what?
P57        ,director                                        ,Whose direction is XXX?                                                ,Whose direction is XXX?                                                ,Whose direction is XXX?
P57        ,director                                        ,Who was XXX was directed by?                                           ,Who was XXX was directed by?                                           ,Who was XXX was directed by?
P57        ,director                                        ,Who served as director for XXX?                                        ,Who served as director for XXX?                                        ,Who served as director for XXX?
P57        ,director                                        ,XXX a 2001 german drama film directed by ?                             ,XXX a 2001 german drama film directed by ?                             ,XXX a 2001 german drama film directed by ?
P61        ,discoverer or inventor                          ,Who was the discoverer of XXX?                                         ,Who was the discoverer of XXX?                                         ,Who was the discoverer of XXX?
P61        ,discoverer or inventor                          ,Who was the original discoverer of XXX?                                ,Who was the original discoverer of XXX?                                ,Who was the original discoverer of XXX?
P61        ,discoverer or inventor                          ,Who discovered XXX?                                                    ,Who discovered XXX?                                                    ,Who discovered XXX?
P61        ,discoverer or inventor                          ,By whom was XXX discovered?                                            ,By whom was XXX discovered?                                            ,By whom was XXX discovered?
P61        ,discoverer or inventor                          ,Who made the discovery of XXX?                                         ,Who made the discovery of XXX?                                         ,Who made the discovery of XXX?
P61        ,discoverer or inventor                          ,Who made XXX known?                                                    ,Who made XXX known?                                                    ,Who made XXX known?
P61        ,discoverer or inventor                          ,What is the name of the person who discovered XXX?                     ,What is the name of the person who discovered XXX?                     ,What is the name of the person who discovered XXX?
P61        ,discoverer or inventor                          ,Who was responsible for the discovery of XXX?                          ,Who was responsible for the discovery of XXX?                          ,Who was responsible for the discovery of XXX?
P61        ,discoverer or inventor                          ,Who would be the first to discover XXX?                                ,Who would be the first to discover XXX?                                ,Who would be the first to discover XXX?
P61        ,discoverer or inventor                          ,Who was behind the discovery of XXX?                                   ,Who was behind the discovery of XXX?                                   ,Who was behind the discovery of XXX?
P61        ,discoverer or inventor                          ,Who discovered the XXX?                                                ,Who discovered the XXX?                                                ,Who discovered the XXX?
P61        ,discoverer or inventor                          ,What was the name of the discoverer of XXX?                            ,What was the name of the discoverer of XXX?                            ,What was the name of the discoverer of XXX?
P61        ,discoverer or inventor                          ,The inventor of XXX was whom?                                          ,The inventor of XXX was whom?                                          ,The inventor of XXX was whom?
P61        ,discoverer or inventor                          ,The XXX was discovered by whom?                                        ,The XXX was discovered by whom?                                        ,The XXX was discovered by whom?
P61        ,discoverer or inventor                          ,Who found XXX?                                                         ,Who found XXX?                                                         ,Who found XXX?
P576       ,dissolved or abolished                          ,Which year did XXX end?                                                ,Which year did XXX end?                                                ,Which year did XXX end?
P576       ,dissolved or abolished                          ,What year did XXX end?                                                 ,What year did XXX end?                                                 ,What year did XXX end?
P576       ,dissolved or abolished                          ,What is the final year of XXX?                                         ,What is the final year of XXX?                                         ,What is the final year of XXX?
P576       ,dissolved or abolished                          ,What year was the end of XXX?                                          ,What year was the end of XXX?                                          ,What year was the end of XXX?
P576       ,dissolved or abolished                          ,What year was it when XXX was dissolved?                               ,What year was it when XXX was dissolved?                               ,What year was it when XXX was dissolved?
P576       ,dissolved or abolished                          ,What is the ending year of XXX?                                        ,What is the ending year of XXX?                                        ,What is the ending year of XXX?
P576       ,dissolved or abolished                          ,When was XXX abolished?                                                ,When was XXX abolished?                                                ,When was XXX abolished?
P576       ,dissolved or abolished                          ,What year did XXX dissolve?                                            ,What year did XXX dissolve?                                            ,What year did XXX dissolve?
P576       ,dissolved or abolished                          ,In which year XXX ceased to exist?                                     ,In which year XXX ceased to exist?                                     ,In which year XXX ceased to exist?
P750       ,distributor                                     ,What was the production company for XXX?                               ,What was the production company for XXX?                               ,What was the production company for XXX?
P750       ,distributor                                     ,What company produced XXX?                                             ,What company produced XXX?                                             ,What company produced XXX?
P750       ,distributor                                     ,Which was the production company for XXX?                              ,Which was the production company for XXX?                              ,Which was the production company for XXX?
P750       ,distributor                                     ,Who was XXX released by?                                               ,Who was XXX released by?                                               ,Who was XXX released by?
P750       ,distributor                                     ,Which is the distributor of XXX?                                       ,Which is the distributor of XXX?                                       ,Which is the distributor of XXX?
P750       ,distributor                                     ,Which digital media publicised XXX?                                    ,Which digital media publicised XXX?                                    ,Which digital media publicised XXX?
P750       ,distributor                                     ,What studio released XXX?                                              ,What studio released XXX?                                              ,What studio released XXX?
P750       ,distributor                                     ,Who was the distributor of XXX?                                        ,Who was the distributor of XXX?                                        ,Who was the distributor of XXX?
P750       ,distributor                                     ,The production company for XXX was what?                               ,The production company for XXX was what?                               ,The production company for XXX was what?
P750       ,distributor                                     ,Who distributed XXX?                                                   ,Who distributed XXX?                                                   ,Who distributed XXX?
P750       ,distributor                                     ,What company released XXX?                                             ,What company released XXX?                                             ,What company released XXX?
P750       ,distributor                                     ,Who released XXX?                                                      ,Who released XXX?                                                      ,Who released XXX?
P750       ,distributor                                     ,Who produced or published XXX?                                         ,Who produced or published XXX?                                         ,Who produced or published XXX?
P750       ,distributor                                     ,What company made XXX?                                                 ,What company made XXX?                                                 ,What company made XXX?
P750       ,distributor                                     ,What company distributed XXX?                                          ,What company distributed XXX?                                          ,What company distributed XXX?
P750       ,distributor                                     ,The distributor of XXX was whom?                                       ,The distributor of XXX was whom?                                       ,The distributor of XXX was whom?
P750       ,distributor                                     ,The distributor of XXX is whom?                                        ,The distributor of XXX is whom?                                        ,The distributor of XXX is whom?
P750       ,distributor                                     ,What company was XXX released by?                                      ,What company was XXX released by?                                      ,What company was XXX released by?
P750       ,distributor                                     ,What studio realeased the movie XXX?                                   ,What studio realeased the movie XXX?                                   ,What studio realeased the movie XXX?
P750       ,distributor                                     ,What is the name of the company which distributed XXX?                 ,What is the name of the company which distributed XXX?                 ,What is the name of the company which distributed XXX?
P647       ,drafted by                                      ,What team is XXX on?                                                   ,What team is XXX on?                                                   ,What team is XXX on?
P647       ,drafted by                                      ,What team did XXX play for?                                            ,What team did XXX play for?                                            ,What team did XXX play for?
P647       ,drafted by                                      ,On what team is XXX?                                                   ,On what team is XXX?                                                   ,On what team is XXX?
P647       ,drafted by                                      ,What team is XXX associated with?                                      ,What team is XXX associated with?                                      ,What team is XXX associated with?
P647       ,drafted by                                      ,Player XXX played for which team?                                      ,Player XXX played for which team?                                      ,Player XXX played for which team?
P647       ,drafted by                                      ,Which team does XXX play for?                                          ,Which team does XXX play for?                                          ,Which team does XXX play for?
P647       ,drafted by                                      ,What team does XXX belong to?                                          ,What team does XXX belong to?                                          ,What team does XXX belong to?
P98        ,editor                                          ,Who assembled XXX?                                                     ,Who assembled XXX?                                                     ,Who assembled XXX?
P98        ,editor                                          ,What is the name of the editors of XXX?                                ,What is the name of the editors of XXX?                                ,What is the name of the editors of XXX?
P98        ,editor                                          ,Who was the editor of XXX?                                             ,Who was the editor of XXX?                                             ,Who was the editor of XXX?
P69        ,educated at                                     ,What college did XXX go to?                                            ,What college did XXX go to?                                            ,What college did XXX go to?
P69        ,educated at                                     ,What is the name of university that educated XXX?                      ,What is the name of university that educated XXX?                      ,What is the name of university that educated XXX?
P69        ,educated at                                     ,What university did XXX attend?                                        ,What university did XXX attend?                                        ,What university did XXX attend?
P69        ,educated at                                     ,Which college or university is related with XXX?                       ,Which college or university is related with XXX?                       ,Which college or university is related with XXX?
P69        ,educated at                                     ,What is the university where XXX went?                                 ,What is the university where XXX went?                                 ,What is the university where XXX went?
P69        ,educated at                                     ,What is the name university that educated XXX?                         ,What is the name university that educated XXX?                         ,What is the name university that educated XXX?
P69        ,educated at                                     ,Where did XXX study or work?                                           ,Where did XXX study or work?                                           ,Where did XXX study or work?
P69        ,educated at                                     ,The college XXX attended was what?                                     ,The college XXX attended was what?                                     ,The college XXX attended was what?
P108       ,employer                                        ,What is XXX's place of employment?                                     ,What is XXX's place of employment?                                     ,What is XXX's place of employment?
P582       ,end time                                        ,On what date did XXX end?                                              ,On what date did XXX end?                                              ,On what date did XXX end?
P22        ,father                                          ,Who fathered XXX?                                                      ,Who fathered XXX?                                                      ,Who fathered XXX?
P22        ,father                                          ,What was the name of the father of XXX?                                ,What was the name of the father of XXX?                                ,What was the name of the father of XXX?
P22        ,father                                          ,Who is XXX's dad?                                                      ,Who is XXX's dad?                                                      ,Who is XXX's dad?
P22        ,father                                          ,The father of XXX was who?                                             ,The father of XXX was who?                                             ,The father of XXX was who?
P22        ,father                                          ,Who was the male parent of XXX?                                        ,Who was the male parent of XXX?                                        ,Who was the male parent of XXX?
P22        ,father                                          ,What is the name of XXX father?                                        ,What is the name of XXX father?                                        ,What is the name of XXX father?
P22        ,father                                          ,Who was the dad of XXX?                                                ,Who was the dad of XXX?                                                ,Who was the dad of XXX?
P22        ,father                                          ,Who was XXX's father?                                                  ,Who was XXX's father?                                                  ,Who was XXX's father?
P22        ,father                                          ,Who is the paternal progenitor of XXX?                                 ,Who is the paternal progenitor of XXX?                                 ,Who is the paternal progenitor of XXX?
P22        ,father                                          ,Who is XXX's father?                                                   ,Who is XXX's father?                                                   ,Who is XXX's father?
P22        ,father                                          ,Who is listed as XXX father?                                           ,Who is listed as XXX father?                                           ,Who is listed as XXX father?
P22        ,father                                          ,Who was XXX's paternal figure?                                         ,Who was XXX's paternal figure?                                         ,Who was XXX's paternal figure?
P22        ,father                                          ,What is XXX's father's name?                                           ,What is XXX's father's name?                                           ,What is XXX's father's name?
P22        ,father                                          ,The father of XXX is whom?                                             ,The father of XXX is whom?                                             ,The father of XXX is whom?
P1040      ,film editor                                     ,Who was the film director that directed XXX?                           ,Who was the film director that directed XXX?                           ,Who was the film director that directed XXX?
P1040      ,film editor                                     ,Who was XXX directed or edited by?                                     ,Who was XXX directed or edited by?                                     ,Who was XXX directed or edited by?
P1040      ,film editor                                     ,What was the director's name of XXX?                                   ,What was the director's name of XXX?                                   ,What was the director's name of XXX?
P1040      ,film editor                                     ,The movie XXX is by whom?                                              ,The movie XXX is by whom?                                              ,The movie XXX is by whom?
P1040      ,film editor                                     ,Which director directed XXX?                                           ,Which director directed XXX?                                           ,Which director directed XXX?
P1040      ,film editor                                     ,By whom was XXX was directed or edited by?                             ,By whom was XXX was directed or edited by?                             ,By whom was XXX was directed or edited by?
P1040      ,film editor                                     ,Who directed or edited XXX?                                            ,Who directed or edited XXX?                                            ,Who directed or edited XXX?
P1040      ,film editor                                     ,Who was responsible for directing XXX?                                 ,Who was responsible for directing XXX?                                 ,Who was responsible for directing XXX?
P1040      ,film editor                                     ,Which director worked on the film XXX?                                 ,Which director worked on the film XXX?                                 ,Which director worked on the film XXX?
P703       ,found in taxon                                  ,Which species has the XXX gene?                                        ,Which species has the XXX gene?                                        ,Which species has the XXX gene?
P703       ,found in taxon                                  ,What species is XXX specific to?                                       ,What species is XXX specific to?                                       ,What species is XXX specific to?
P703       ,found in taxon                                  ,In what living being can XXX be found?                                 ,In what living being can XXX be found?                                 ,In what living being can XXX be found?
P112       ,founder                                         ,Which person formed XXX?                                               ,Which person formed XXX?                                               ,Which person formed XXX?
P112       ,founder                                         ,Who formed XXX?                                                        ,Who formed XXX?                                                        ,Who formed XXX?
P112       ,founder                                         ,Who is responsible for founding XXX?                                   ,Who is responsible for founding XXX?                                   ,Who is responsible for founding XXX?
P112       ,founder                                         ,Which person is involved in the founding of XXX?                       ,Which person is involved in the founding of XXX?                       ,Which person is involved in the founding of XXX?
P112       ,founder                                         ,Who started XXX?                                                       ,Who started XXX?                                                       ,Who started XXX?
P112       ,founder                                         ,Who founded XXX?                                                       ,Who founded XXX?                                                       ,Who founded XXX?
P112       ,founder                                         ,Who is the founder of XXX?                                             ,Who is the founder of XXX?                                             ,Who is the founder of XXX?
P112       ,founder                                         ,Which is the founder of XXX?                                           ,Which is the founder of XXX?                                           ,Which is the founder of XXX?
P112       ,founder                                         ,What is the name of the founder of XXX?                                ,What is the name of the founder of XXX?                                ,What is the name of the founder of XXX?
P1080      ,from fictional universe                         ,What is the name of the fictional universe that XXX is from?           ,What is the name of the fictional universe that XXX is from?           ,What is the name of the fictional universe that XXX is from?
P1080      ,from fictional universe                         ,In which fictional universe is XXX a character?                        ,In which fictional universe is XXX a character?                        ,In which fictional universe is XXX a character?
P1080      ,from fictional universe                         ,Which fictional universe is XXX from?                                  ,Which fictional universe is XXX from?                                  ,Which fictional universe is XXX from?
P1080      ,from fictional universe                         ,What is the fictional universe that XXX appears in?                    ,What is the fictional universe that XXX appears in?                    ,What is the fictional universe that XXX appears in?
P1080      ,from fictional universe                         ,Which fictional universe is XXX part of?                               ,Which fictional universe is XXX part of?                               ,Which fictional universe is XXX part of?
P1080      ,from fictional universe                         ,With which fictional universe is the character XXX associated?         ,With which fictional universe is the character XXX associated?         ,With which fictional universe is the character XXX associated?
P1080      ,from fictional universe                         ,What is the fictional universe that has XXX?                           ,What is the fictional universe that has XXX?                           ,What is the fictional universe that has XXX?
P1080      ,from fictional universe                         ,In which fictional universe does XXX exist?                            ,In which fictional universe does XXX exist?                            ,In which fictional universe does XXX exist?
P1080      ,from fictional universe                         ,What type of universe is XXX a fictional character in?                 ,What type of universe is XXX a fictional character in?                 ,What type of universe is XXX a fictional character in?
P1080      ,from fictional universe                         ,What fictional universe is XXX a part of?                              ,What fictional universe is XXX a part of?                              ,What fictional universe is XXX a part of?
P1080      ,from fictional universe                         ,What is the universe that XXX exists in?                               ,What is the universe that XXX exists in?                               ,What is the universe that XXX exists in?
P1080      ,from fictional universe                         ,What is the fictional universe that XXX belong to?                     ,What is the fictional universe that XXX belong to?                     ,What is the fictional universe that XXX belong to?
P6         ,head of government                              ,Who became the leader of XXX?                                          ,Who became the leader of XXX?                                          ,Who became the leader of XXX?
P6         ,head of government                              ,Which person was the head of government of XXX?                        ,Which person was the head of government of XXX?                        ,Which person was the head of government of XXX?
P6         ,head of government                              ,Who was elected leader of XXX?                                         ,Who was elected leader of XXX?                                         ,Who was elected leader of XXX?
P6         ,head of government                              ,Who was in charge of XXX?                                              ,Who was in charge of XXX?                                              ,Who was in charge of XXX?
P159       ,headquarters location                           ,Which city is XXX located in?                                          ,Which city is XXX located in?                                          ,Which city is XXX located in?
P159       ,headquarters location                           ,What city is the headquarters of XXX?                                  ,What city is the headquarters of XXX?                                  ,What city is the headquarters of XXX?
P159       ,headquarters location                           ,What is the city where XXX is from?                                    ,What is the city where XXX is from?                                    ,What is the city where XXX is from?
P159       ,headquarters location                           ,What city is XXX located in?                                           ,What city is XXX located in?                                           ,What city is XXX located in?
P159       ,headquarters location                           ,In what city is XXX locateed?                                          ,In what city is XXX locateed?                                          ,In what city is XXX locateed?
P159       ,headquarters location                           ,In what city is XXX based?                                             ,In what city is XXX based?                                             ,In what city is XXX based?
P115       ,home venue                                      ,Where are the home games of XXX played?                                ,Where are the home games of XXX played?                                ,Where are the home games of XXX played?
P115       ,home venue                                      ,What home stadium does XXX play in?                                    ,What home stadium does XXX play in?                                    ,What home stadium does XXX play in?
P115       ,home venue                                      ,What is the home arena for XXX?                                        ,What is the home arena for XXX?                                        ,What is the home arena for XXX?
P115       ,home venue                                      ,What is XXX's home stadium?                                            ,What is XXX's home stadium?                                            ,What is XXX's home stadium?
P115       ,home venue                                      ,What arena did XXX play in?                                            ,What arena did XXX play in?                                            ,What arena did XXX play in?
P115       ,home venue                                      ,In what home venue does XXX play?                                      ,In what home venue does XXX play?                                      ,In what home venue does XXX play?
P115       ,home venue                                      ,What was the name of XXX's home stadium?                               ,What was the name of XXX's home stadium?                               ,What was the name of XXX's home stadium?
P115       ,home venue                                      ,Where do XXX play?                                                     ,Where do XXX play?                                                     ,Where do XXX play?
P115       ,home venue                                      ,Where do XXX play their home games?                                    ,Where do XXX play their home games?                                    ,Where do XXX play their home games?
P115       ,home venue                                      ,The XXX played home games where?                                       ,The XXX played home games where?                                       ,The XXX played home games where?
P115       ,home venue                                      ,What is the name of the place at which XXX played?                     ,What is the name of the place at which XXX played?                     ,What is the name of the place at which XXX played?
P115       ,home venue                                      ,Where does XXX play its home games?                                    ,Where does XXX play its home games?                                    ,Where does XXX play its home games?
P115       ,home venue                                      ,What location hosts XXX's home games?                                  ,What location hosts XXX's home games?                                  ,What location hosts XXX's home games?
P115       ,home venue                                      ,What is the home arena of XXX?                                         ,What is the home arena of XXX?                                         ,What is the home arena of XXX?
P115       ,home venue                                      ,What is the hoe stadium for XXX?                                       ,What is the hoe stadium for XXX?                                       ,What is the hoe stadium for XXX?
P115       ,home venue                                      ,In which athletic center does XXX play their home games?               ,In which athletic center does XXX play their home games?               ,In which athletic center does XXX play their home games?
P115       ,home venue                                      ,In what stadium does XXX play home games?                              ,In what stadium does XXX play home games?                              ,In what stadium does XXX play home games?
P115       ,home venue                                      ,Where does XXX play home games?                                        ,Where does XXX play home games?                                        ,Where does XXX play home games?
P115       ,home venue                                      ,Where did XXX play home games?                                         ,Where did XXX play home games?                                         ,Where did XXX play home games?
P115       ,home venue                                      ,Where did XXX play their home games?                                   ,Where did XXX play their home games?                                   ,Where did XXX play their home games?
P115       ,home venue                                      ,What is the home venue of XXX?                                         ,What is the home venue of XXX?                                         ,What is the home venue of XXX?
P115       ,home venue                                      ,Where does XXX play its game?                                          ,Where does XXX play its game?                                          ,Where does XXX play its game?
