Property ID,Property                                        ,Original                                                               ,Human Translated
P57        ,director                                        ,Who is the director of XXX?                                            ,Chi è il direttore diYYY XXX?
P57        ,director                                        ,Which director helmed the movie XXX?                                   ,Quale regista ha diretto il film XXX?
P57        ,director                                        ,The director of XXX is who?                                            ,
P57        ,director                                        ,Under whose direction was XXX produced?                                ,
P57        ,director                                        ,The film XXX was directed by who?                                      ,
P57        ,director                                        ,Who was responsible for the direction of XXX?                          ,
P57        ,director                                        ,Who id the director for XXX?                                           ,
P57        ,director                                        ,The main director of XXX was who?                                      ,
P57        ,director                                        ,The director of XXX is what?                                           ,
P57        ,director                                        ,Whose direction is XXX?                                                ,Di chi è la direzione di XXX?
P57        ,director                                        ,Who was XXX was directed by?                                           ,Da chi è stato diretto XXX?
P57        ,director                                        ,Who served as director for XXX?                                        ,
P57        ,director                                        ,XXX a 2001 german drama film directed by ?                             ,
P61        ,discoverer or inventor                          ,Who was the discoverer of XXX?                                         ,Chi è stato lo scopritore diYYY XXX?
P61        ,discoverer or inventor                          ,Who was the original discoverer of XXX?                                ,Chi è stato lo scopritore originale diYYY XXX?
P61        ,discoverer or inventor                          ,Who discovered XXX?                                                    ,Chi ha scoperto YYY XXX?
P61        ,discoverer or inventor                          ,By whom was XXX discovered?                                            ,Da chi è statGGG scopertGGG YYY XXX?
P61        ,discoverer or inventor                          ,Who made the discovery of XXX?                                         ,Chi ha fatto la scoperta diYYY XXX?
P61        ,discoverer or inventor                          ,Who made XXX known?                                                    ,
P61        ,discoverer or inventor                          ,What is the name of the person who discovered XXX?                     ,Qual è il nome della persona che ha scoperto YYY XXX?
P61        ,discoverer or inventor                          ,Who was responsible for the discovery of XXX?                          ,
P61        ,discoverer or inventor                          ,Who would be the first to discover XXX?                                ,
P61        ,discoverer or inventor                          ,Who was behind the discovery of XXX?                                   ,Chi c'era dietro la scoperta diYYY XXX?
P61        ,discoverer or inventor                          ,Who discovered the XXX?                                                ,Chi ha scoperto YYY XXX?
P61        ,discoverer or inventor                          ,What was the name of the discoverer of XXX?                            ,Qual era il nome dello scopritore diYYY XXX?
P61        ,discoverer or inventor                          ,The inventor of XXX was whom?                                          ,Chi è l'inventore diYYY XXX?
P61        ,discoverer or inventor                          ,The XXX was discovered by whom?                                        ,
P61        ,discoverer or inventor                          ,Who found XXX?                                                         ,
P576       ,dissolved or abolished                          ,Which year did XXX end?                                                ,Qual è l'anno di chiusura di XXX?
P576       ,dissolved or abolished                          ,What year did XXX end?                                                 ,Quando si è sciolta XXX?
P576       ,dissolved or abolished                          ,What is the final year of XXX?                                         ,Qual è l'ultimo anno di XXX?
P576       ,dissolved or abolished                          ,What year was the end of XXX?                                          ,
P576       ,dissolved or abolished                          ,What year was it when XXX was dissolved?                               ,
P576       ,dissolved or abolished                          ,What is the ending year of XXX?                                        ,Qual è l'anno finale di XXX?
P576       ,dissolved or abolished                          ,When was XXX abolished?                                                ,Quando è stata abolita XXX?
P576       ,dissolved or abolished                          ,What year did XXX dissolve?                                            ,In che anno si è sciolta XXX?
P576       ,dissolved or abolished                          ,In which year XXX ceased to exist?                                     ,In quale anno XXX cessò di esistere?
P750       ,distributor                                     ,What was the production company for XXX?                               ,Qual è stata la società di produzione di XXX?
P750       ,distributor                                     ,What company produced XXX?                                             ,Quale compagnia ha prodotto XXX?
P750       ,distributor                                     ,Which was the production company for XXX?                              ,Qual è stata la compagnia di produzione di XXX?
P750       ,distributor                                     ,Who was XXX released by?                                               ,Da chi è stato rilasciato XXX?
P750       ,distributor                                     ,Which is the distributor of XXX?                                       ,Qual è il distributore di XXX?
P750       ,distributor                                     ,Which digital media publicised XXX?                                    ,Quali media digitali hanno pubblicizzato XXX?
P750       ,distributor                                     ,What studio released XXX?                                              ,Quale studio ha pubblicato XXX?
P750       ,distributor                                     ,Who was the distributor of XXX?                                        ,Chi era il distributore di XXX?
P750       ,distributor                                     ,The production company for XXX was what?                               ,
P750       ,distributor                                     ,Who distributed XXX?                                                   ,Chi ha distribuito XXX?
P750       ,distributor                                     ,What company released XXX?                                             ,Quale azienda ha pubblicato XXX?
P750       ,distributor                                     ,Who released XXX?                                                      ,Chi ha rilasciato XXX?
P750       ,distributor                                     ,Who produced or published XXX?                                         ,Chi ha prodotto o pubblicato XXX?
P750       ,distributor                                     ,What company made XXX?                                                 ,Quale azienda ha creato XXX?
P750       ,distributor                                     ,What company distributed XXX?                                          ,Quale compagnia ha distribuito XXX?
P750       ,distributor                                     ,The distributor of XXX was whom?                                       ,
P750       ,distributor                                     ,The distributor of XXX is whom?                                        ,
P750       ,distributor                                     ,What company was XXX released by?                                      ,Che società ha pubblicato XXX?
P750       ,distributor                                     ,What studio realeased the movie XXX?                                   ,Quale studio ha realizzato il film XXX?
P750       ,distributor                                     ,What is the name of the company which distributed XXX?                 ,Qual è il nome della società che ha distribuito XXX?
P647       ,drafted by                                      ,What team is XXX on?                                                   ,In che squadra è XXX?
P647       ,drafted by                                      ,What team did XXX play for?                                            ,Per quale squadra ha giocato XXX?
P647       ,drafted by                                      ,On what team is XXX?                                                   ,
P647       ,drafted by                                      ,What team is XXX associated with?                                      ,
P647       ,drafted by                                      ,Player XXX played for which team?                                      ,
P647       ,drafted by                                      ,Which team does XXX play for?                                          ,Per quale squadra gioca XXX?
P647       ,drafted by                                      ,What team does XXX belong to?                                          ,A quale squadra appartiene XXX?
P98        ,editor                                          ,Who assembled XXX?                                                     ,
P98        ,editor                                          ,What is the name of the editors of XXX?                                ,Qual è il nome degli editori diYYY XXX?
P98        ,editor                                          ,Who was the editor of XXX?                                             ,Chi era l'editore diYYY XXX?
P69        ,educated at                                     ,What college did XXX go to?                                            ,In che college è andato XXX?
P69        ,educated at                                     ,What is the name of university that educated XXX?                      ,Qual è il nome dell'università che ha istruito XXX?
P69        ,educated at                                     ,What university did XXX attend?                                        ,Quale università ha frequentato XXX?
P69        ,educated at                                     ,Which college or university is related with XXX?                       ,Quale università è collegata a XXX?
P69        ,educated at                                     ,What is the university where XXX went?                                 ,Qual è l'università in cui è andato XXX?
P69        ,educated at                                     ,What is the name university that educated XXX?                         ,
P69        ,educated at                                     ,Where did XXX study or work?                                           ,Dove ha studiato o lavorato XXX?
P69        ,educated at                                     ,The college XXX attended was what?                                     ,
P108       ,employer                                        ,What is XXX's place of employment?                                     ,Qual è il posto di lavoro di XXX?
P582       ,end time                                        ,On what date did XXX end?                                              ,Qual è la data di fine diYYY XXX?
P22        ,father                                          ,Who fathered XXX?                                                      ,Chi ha procreato XXX?
P22        ,father                                          ,What was the name of the father of XXX?                                ,Qual era il nome del padre di XXX?
P22        ,father                                          ,Who is XXX's dad?                                                      ,Chi è il papà di XXX?
P22        ,father                                          ,The father of XXX was who?                                             ,Chi è il padre di XXX?
P22        ,father                                          ,Who was the male parent of XXX?                                        ,Chi era il genitore maschio di XXX?
P22        ,father                                          ,What is the name of XXX father?                                        ,
P22        ,father                                          ,Who was the dad of XXX?                                                ,
P22        ,father                                          ,Who was XXX's father?                                                  ,
P22        ,father                                          ,Who is the paternal progenitor of XXX?                                 ,Chi è il progenitore paterno di XXX?
P22        ,father                                          ,Who is XXX's father?                                                   ,
P22        ,father                                          ,Who is listed as XXX father?                                           ,Chi è elencato come padre di XXX?
P22        ,father                                          ,Who was XXX's paternal figure?                                         ,Chi era la figura paterna di XXX?
P22        ,father                                          ,What is XXX's father's name?                                           ,
P22        ,father                                          ,The father of XXX is whom?                                             ,
P1040      ,film editor                                     ,Who was the film director that directed XXX?                           ,Chi era il regista che ha diretto XXX?
P1040      ,film editor                                     ,Who was XXX directed or edited by?                                     ,
P1040      ,film editor                                     ,What was the director's name of XXX?                                   ,Qual era il nome del regista di XXX?
P1040      ,film editor                                     ,The movie XXX is by whom?                                              ,
P1040      ,film editor                                     ,Which director directed XXX?                                           ,Quale regista ha diretto XXX?
P1040      ,film editor                                     ,By whom was XXX was directed or edited by?                             ,
P1040      ,film editor                                     ,Who directed or edited XXX?                                            ,Chi ha diretto o modificato XXX?
P1040      ,film editor                                     ,Who was responsible for directing XXX?                                 ,Chi era responsabile della direzione diYYY XXX?
P1040      ,film editor                                     ,Which director worked on the film XXX?                                 ,Quale regista ha lavorato al film XXX?
P703       ,found in taxon                                  ,Which species has the XXX gene?                                        ,Quale specie ha il gene XXX?
P703       ,found in taxon                                  ,What species is XXX specific to?                                       ,A quele specie è specifico XXX?
P703       ,found in taxon                                  ,In what living being can XXX be found?                                 ,In quale essere vivente si può trovare XXX?
P112       ,founder                                         ,Which person formed XXX?                                               ,
P112       ,founder                                         ,Who formed XXX?                                                        ,
P112       ,founder                                         ,Who is responsible for founding XXX?                                   ,Chi è responsabile della fondazione di XXX?
P112       ,founder                                         ,Which person is involved in the founding of XXX?                       ,Quale persona è coinvolta nella fondazione di XXX?
P112       ,founder                                         ,Who started XXX?                                                       ,
P112       ,founder                                         ,Who founded XXX?                                                       ,Chi ha fondato XXX?
P112       ,founder                                         ,Who is the founder of XXX?                                             ,Chi è il fondatore di XXX?
P112       ,founder                                         ,Which is the founder of XXX?                                           ,Qual è il fondatore di XXX?
P112       ,founder                                         ,What is the name of the founder of XXX?                                ,Qual è il nome del fondatore di XXX?
P1080      ,from fictional universe                         ,What is the name of the fictional universe that XXX is from?           ,Qual è il nome dell'universo immaginario da cui proviene XXX?
P1080      ,from fictional universe                         ,In which fictional universe is XXX a character?                        ,In quale universo immaginario XXX è un personaggio?
P1080      ,from fictional universe                         ,Which fictional universe is XXX from?                                  ,Da quale universo immaginario è originario XXX?
P1080      ,from fictional universe                         ,What is the fictional universe that XXX appears in?                    ,Qual è l'universo immaginario in cui appare XXX?
P1080      ,from fictional universe                         ,Which fictional universe is XXX part of?                               ,Di quale universo immaginario fa parte XXX?
P1080      ,from fictional universe                         ,With which fictional universe is the character XXX associated?         ,
P1080      ,from fictional universe                         ,What is the fictional universe that has XXX?                           ,
P1080      ,from fictional universe                         ,In which fictional universe does XXX exist?                            ,In quale universo immaginario esiste XXX?
P1080      ,from fictional universe                         ,What type of universe is XXX a fictional character in?                 ,
P1080      ,from fictional universe                         ,What fictional universe is XXX a part of?                              ,Di quale universo immaginario fa parte XXX?
P1080      ,from fictional universe                         ,What is the universe that XXX exists in?                               ,Qual è l'universo in cui esiste XXX?
P1080      ,from fictional universe                         ,What is the fictional universe that XXX belong to?                     ,Qual è l'universo immaginario a cui XXX appartiene?
P6         ,head of government                              ,Who became the leader of XXX?                                          ,Chi è diventato il leader diYYY XXX?
P6         ,head of government                              ,Which person was the head of government of XXX?                        ,Quale persona era il capo del governo diYYY XXX?
P6         ,head of government                              ,Who was elected leader of XXX?                                         ,Chi è stato eletto leader diYYY XXX?
P6         ,head of government                              ,Who was in charge of XXX?                                              ,Chi era il responsabile diYYY XXX?
P159       ,headquarters location                           ,Which city is XXX located in?                                          ,In quale città si trova XXX?
P159       ,headquarters location                           ,What city is the headquarters of XXX?                                  ,Quale città è la sede di XXX?
P159       ,headquarters location                           ,What is the city where XXX is from?                                    ,Qual è la città da cui proviene XXX?
P159       ,headquarters location                           ,What city is XXX located in?                                           ,In quale città si trova XXX?
P159       ,headquarters location                           ,In what city is XXX locateed?                                          ,
P159       ,headquarters location                           ,In what city is XXX based?                                             ,
P115       ,home venue                                      ,Where are the home games of XXX played?                                ,Dove sono giocate le partite casalinghe diYYY XXX?
P115       ,home venue                                      ,What home stadium does XXX play in?                                    ,In quale stadio di casa gioca YYY XXX?
P115       ,home venue                                      ,What is the home arena for XXX?                                        ,Qual è l'arena di casa per YYY XXX?
P115       ,home venue                                      ,What is XXX's home stadium?                                            ,Qual è lo stadio di casa di YYY XXX?
P115       ,home venue                                      ,What arena did XXX play in?                                            ,In quale arena gioca YYY XXX?
P115       ,home venue                                      ,In what home venue does XXX play?                                      ,
P115       ,home venue                                      ,What was the name of XXX's home stadium?                               ,Come si chiamava lo stadio di casa diYYY XXX?
P115       ,home venue                                      ,Where do XXX play?                                                     ,Dove gioca YYY XXX?
P115       ,home venue                                      ,Where do XXX play their home games?                                    ,Dove gioca le partite casalinghe YYY XXX?
P115       ,home venue                                      ,The XXX played home games where?                                       ,
P115       ,home venue                                      ,What is the name of the place at which XXX played?                     ,
P115       ,home venue                                      ,Where does XXX play its home games?                                    ,
P115       ,home venue                                      ,What location hosts XXX's home games?                                  ,
P115       ,home venue                                      ,What is the home arena of XXX?                                         ,
P115       ,home venue                                      ,What is the hoe stadium for XXX?                                       ,
P115       ,home venue                                      ,In which athletic center does XXX play their home games?               ,
P115       ,home venue                                      ,In what stadium does XXX play home games?                              ,In quale stadio YYY XXX gioca a casa?
P115       ,home venue                                      ,Where does XXX play home games?                                        ,
P115       ,home venue                                      ,Where did XXX play home games?                                         ,
P115       ,home venue                                      ,Where did XXX play their home games?                                   ,
P115       ,home venue                                      ,What is the home venue of XXX?                                         ,Qual è la sede diYYY XXX?
P115       ,home venue                                      ,Where does XXX play its game?                                          ,
P115       ,home venue                                      ,What is the home ground of XXX?                                        ,
P115       ,home venue                                      ,What place did XXX play home games at?                                 ,
P115       ,home venue                                      ,What is the name of the stadium where XXX plays home games?            ,
P115       ,home venue                                      ,What is the common name of the place where XXX plays their home games? ,
P115       ,home venue                                      ,What stadium was XXX?                                                  ,
P115       ,home venue                                      ,Which is the stadium of XXX?                                           ,
P115       ,home venue                                      ,What is the home stadium of XXX?                                       ,
P110       ,illustrator                                     ,Who is the illustrator of XXX?                                         ,Chi è l'illustratore diYYY XXX?
P110       ,illustrator                                     ,What is the name of the ilustrator of the book XXX?                    ,Qual è il nome dell'illustratore del libro YYY XXX?
P110       ,illustrator                                     ,Who was XXX illustrated by?                                            ,Da chi è stato illustrato YYY XXX?
P110       ,illustrator                                     ,What person illustrated XXX?                                           ,Quale persona ha illustrato YYY XXX?
P571       ,inception                                       ,What year was XXX founded?                                             ,In che anno è stata fondata XXX?
P571       ,inception                                       ,What year was XXX established?                                         ,
P571       ,inception                                       ,What was the year XXX was formed in?                                   ,
P571       ,inception                                       ,What was the founding year of XXX?                                     ,Qual è stato l'anno di fondazione di XXX?
P571       ,inception                                       ,In which year was XXX formed?                                          ,
P571       ,inception                                       ,In what year did XXX first exist?                                      ,
P571       ,inception                                       ,In which year was XXX established?                                     ,
P571       ,inception                                       ,In which year the first version of XXX is released?                    ,
P571       ,inception                                       ,What year was XXX created?                                             ,
P571       ,inception                                       ,What was the inception year of XXX?                                    ,Qual è stato l'anno iniziale di XXX?
P571       ,inception                                       ,The year that XXX was created was?                                     ,
P571       ,inception                                       ,In which year was XXX incepted?                                        ,
P571       ,inception                                       ,In what year did XXX originate?                                        ,
P571       ,inception                                       ,When did XXX come into being?                                          ,
P571       ,inception                                       ,In what year was XXX founded?                                          ,Qual è stato l'anno di inizio di XXX?
P571       ,inception                                       ,What was the year of inception of XXX?                                 ,
P571       ,inception                                       ,In what year was XXX created?                                          ,
P571       ,inception                                       ,What was the year of XXX's inception?                                  ,Qual è stato l'anno della nascita di XXX?
P571       ,inception                                       ,In what year was XXX formed?                                           ,
P571       ,inception                                       ,What year was XXX formed in?                                           ,
P571       ,inception                                       ,Which year witnessed the formation of XXX?                             ,Quale anno è stato testimone della formazione di XXX?
P571       ,inception                                       ,What year was XXX created in?                                          ,
P571       ,inception                                       ,What is year of inception of XXX?                                      ,Qual è l'anno di inizio di XXX?
P571       ,inception                                       ,When was XXX launched?                                                 ,
P571       ,inception                                       ,When was the inception of XXX?                                         ,Quando è stato l'inizio di XXX?
P571       ,inception                                       ,When was XXX established?                                              ,
P452       ,industry                                        ,Which industry is XXX associated with?                                 ,A quale settore è associata XXX?
P1303      ,instrument                                      ,Which instrument was played by XXX?                                    ,
P1303      ,instrument                                      ,Which instrument does XXX play?                                        ,Quale strumento suona XXX?
P1303      ,instrument                                      ,Which instrument did XXX play?                                         ,Quale strumento ha suonato XXX?
P1303      ,instrument                                      ,What is the instrument that XXX plays?                                 ,Qual è lo strumento che suona XXX?
P1303      ,instrument                                      ,What instrument is XXX known for playing?                              ,Quale strumento è conosciuto per suonare XXX?
P1303      ,instrument                                      ,What instrument does musician XXX play?                                ,Quale strumento suona il musicista XXX?
P1303      ,instrument                                      ,Which musical instrument is associated with XXX?                       ,Quale strumento musicale è associato a XXX?
P1303      ,instrument                                      ,Which instrument was XXX playing?                                      ,Quale strumento suonava XXX?
P1303      ,instrument                                      ,What musical instrument does XXX associate himself with?               ,Che strumento musicale si associa a XXX?
P1303      ,instrument                                      ,Which musical instrument was used by XXX?                              ,Quale strumento musicale è stato utilizzato da XXX?
P1303      ,instrument                                      ,Which musical instrument was played by XXX?                            ,
P1303      ,instrument                                      ,What is the main instrument that XXX plays?                            ,Qual è lo strumento principale che XXX suona?
P1303      ,instrument                                      ,What is the instrument played by XXX?                                  ,Qual è lo strumento suonato da XXX?
P1303      ,instrument                                      ,Which musical instrument is related to XXX?                            ,Quale strumento musicale è legato a XXX?
P1303      ,instrument                                      ,The instrument XXX played is what?                                     ,
P1303      ,instrument                                      ,What instrument did XXX played?                                        ,Quale strumento ha suonato XXX?
P1303      ,instrument                                      ,Which musical instrument has been played by XXX?                       ,
P1303      ,instrument                                      ,What instrument did XXX play?                                          ,Quale strumento ha interpretato XXX?
P1303      ,instrument                                      ,What is the main musical instrument of XXX?                            ,Qual è il principale strumento musicale di XXX?
P1303      ,instrument                                      ,The instrument that XXX played was what?                               ,
P1303      ,instrument                                      ,Which musical instrument does XXX play?                                ,Quale strumento musicale suona XXX?
P1303      ,instrument                                      ,What musical instrument did XXX specialise at?                         ,
P1303      ,instrument                                      ,What instrument was played by XXX?                                     ,Quale strumento è suonato da XXX?
P1303      ,instrument                                      ,What instrument is XXX proficient in?                                  ,
P1303      ,instrument                                      ,What instrument did XXX learn to play?                                 ,Quale strumento ha imparato a suonare XXX?
P870       ,instrumentation                                 ,What musical instrument is XXX associated with?                        ,
P870       ,instrumentation                                 ,Which instrument(s) was XXX created for?                               ,
P870       ,instrumentation                                 ,Which instrument was XXX written for?                                  ,
P870       ,instrumentation                                 ,Which musical instrument is connected with XXX?                        ,
P870       ,instrumentation                                 ,What type of instrument is used to play XXX?                           ,Che tipo di strumento viene utilizzato per suonare YYY XXX?
P870       ,instrumentation                                 ,What is the name of the instrument XXX was composed for?               ,
P870       ,instrumentation                                 ,What musical instrument was XXX created for?                           ,Per quale strumento musicale è stata creata XXX?
P870       ,instrumentation                                 ,What is the musical instrument XXX was intended for?                   ,
P870       ,instrumentation                                 ,What instrument was XXX written for?                                   ,Per quale strumento è stata scritta XXX?
P870       ,instrumentation                                 ,What instrument is XXX scored for?                                     ,
P870       ,instrumentation                                 ,What instrument is XXX for?                                            ,
P870       ,instrumentation                                 ,The work XXX was created for playing on which instrument(s)?           ,
P870       ,instrumentation                                 ,On which instrument(s) was XXX created to be played on?                ,
P870       ,instrumentation                                 ,On what instrument is XXX played?                                      ,
P870       ,instrumentation                                 ,What type of instrument is XXX designed for?                           ,
P407       ,language of work or name                        ,What language is XXX in?                                               ,
P407       ,language of work or name                        ,What is the language that XXX is in?                                   ,Qual è la lingua di XXX?
P407       ,language of work or name                        ,What is the language XXX is written in?                                ,
P407       ,language of work or name                        ,What language is XXX written?                                          ,Qual è la lingua usata per XXX?
P407       ,language of work or name                        ,What language is XXX written in?                                       ,
P407       ,language of work or name                        ,In which language is XXX made in?                                      ,
P407       ,language of work or name                        ,In what language is XXX?                                               ,In che lingua è XXX?
P407       ,language of work or name                        ,In which language XXX monthly football magazine reporting?             ,
P407       ,language of work or name                        ,Which language is XXX written in?                                      ,
P1412      ,languages spoken or written                     ,What is the nationality of birth of XXX?                               ,Qual è la nazionalità della nascita di XXX?
P1412      ,languages spoken or written                     ,What is the nationality of XXX?                                        ,Qual è la nazionalità di XXX?
P1412      ,languages spoken or written                     ,Which language or languages is XXX fluent in?                          ,In quale lingua è fluente XXX?
P1412      ,languages spoken or written                     ,What nationality is XXX?                                               ,Di che nazionalità è XXX?
P1412      ,languages spoken or written                     ,The nationality of XXX is what?                                        ,
P1412      ,languages spoken or written                     ,What was the nationality of XXX?                                       ,Qual era la nazionalità di XXX?
P1412      ,languages spoken or written                     ,What language did XXX speak?                                           ,
P1412      ,languages spoken or written                     ,The nationality of XXX?                                                ,
P1412      ,languages spoken or written                     ,What was XXX's language?                                               ,
P1412      ,languages spoken or written                     ,Which was the nationality of XXX?                                      ,
P1412      ,languages spoken or written                     ,What was XXX's nationality?                                            ,Qual era la nazionalità di XXX?
P1412      ,languages spoken or written                     ,What nationality of XXX?                                               ,
P118       ,league                                          ,The team XXX is a member of which sports league?                       ,La squadra XXX è un membro di quale lega sportiva?
P118       ,league                                          ,Which soccer league is XXX in?                                         ,In quale campionato di calcio gioca YYY XXX?
P118       ,league                                          ,What football league is XXX a part of?                                 ,
P118       ,league                                          ,What league does XXX participate in?                                   ,In che lega partecipa YYY XXX?
P118       ,league                                          ,Which league did XXX join with?                                        ,
P118       ,league                                          ,Which is the league of XXX?                                            ,Qual è il campionato diYYY XXX?
P118       ,league                                          ,What league did XXX play in the top league for?                        ,
P118       ,league                                          ,What league was XXX?                                                   ,
P275       ,license                                         ,Which is the license of XXX?                                           ,Qual è la licenza di XXX?
P1408      ,licensed to broadcast to                        ,What city is XXX located?                                              ,Quale città si trova XXX?
P1408      ,licensed to broadcast to                        ,What town or city does XXX serve?                                      ,In quale città trasmette XXX?
P1408      ,licensed to broadcast to                        ,What town is XXX liscensed in?                                         ,
P131       ,located in the administrative territorial entity,What state is XXX located?                                             ,Dove si trova XXX?
P131       ,located in the administrative territorial entity,Which state is XXX located?                                            ,In quale stato si trova XXX?
P131       ,located in the administrative territorial entity,In which state is XXX located?                                         ,In quale nazione si trova XXX?
P131       ,located in the administrative territorial entity,What is the name of the state where XXX is located?                    ,Qual è il nome dello stato in cui si trova XXX?
P206       ,located next to body of water                   ,What body of water was XXX next to?                                    ,
P206       ,located next to body of water                   ,Which is the body of water by XXX?                                     ,
P206       ,located next to body of water                   ,By which body of water is XXX located?                                 ,
P376       ,located on astronomical body                    ,On what moon or planet can XXX be found?                               ,Su quale luna o pianeta puoi trovare XXX?
P376       ,located on astronomical body                    ,On what planet is XXX on?                                              ,Su quale pianeta si trova XXX?
P376       ,located on astronomical body                    ,What is the astronomical body that XXX is located on?                  ,Qual è il corpo astronomico su cui si trova XXX?
P376       ,located on astronomical body                    ,On what celestial body is XXX located?                                 ,Su quale corpo celeste si trova XXX?
P376       ,located on astronomical body                    ,Which planet is XXX located?                                           ,
P376       ,located on astronomical body                    ,What celestial body can XXX be found on?                               ,Su quale corpo celeste si può trovare XXX?
P376       ,located on astronomical body                    ,The astronomical body that XXX is on is what?                          ,
P376       ,located on astronomical body                    ,Where is XXX found?                                                    ,Dove si trova XXX?
P376       ,located on astronomical body                    ,The astronomical body that XXX was located on was what?                ,
P740       ,location of formation                           ,From what city is the band XXX?                                        ,Di quale città è originaria la band XXX?
P740       ,location of formation                           ,What is the city of origin of XXX?                                     ,Qual è la città di origine diYYY XXX?
P740       ,location of formation                           ,What city was XXX formed in?                                           ,
P740       ,location of formation                           ,In what city or state did the formation of XXX occur?                  ,
P740       ,location of formation                           ,What city is the band XXX from?                                        ,Da che città è la band XXX?
P740       ,location of formation                           ,What was the name of the city or state where XXX was formed?           ,Qual era il nome della città o dello stato in cui è stata creata XXX?
P740       ,location of formation                           ,What is the home city of XXX?                                          ,Qual è la città natale diYYY XXX?
P676       ,lyrics by                                       ,Whose song is XXX?                                                     ,Di chi è la canzone XXX?
P676       ,lyrics by                                       ,Which artist is known for writing XXX?                                 ,Quale artista è conosciuto per aver scritto XXX?
P676       ,lyrics by                                       ,What artist created XXX?                                               ,Quale artista ha creato XXX?
P676       ,lyrics by                                       ,The song XXX was by whom?                                              ,
P676       ,lyrics by                                       ,Who was the writter of XXX?                                            ,Chi era lo scrittore diYYY XXX?
P676       ,lyrics by                                       ,Who was the songwriter of XXX?                                         ,Chi era il cantautore diYYY XXX?
P676       ,lyrics by                                       ,Whose work was XXX?                                                    ,
P676       ,lyrics by                                       ,Who recorded XXX?                                                      ,Chi ha registrato XXX?
P676       ,lyrics by                                       ,What is the name of the singer or writer of XXX?                       ,Qual è il nome del cantante o scrittore diYYY XXX?
P676       ,lyrics by                                       ,Who are the XXX lyrics by?                                             ,Chi ha scritto i testi diYYY XXX?
P676       ,lyrics by                                       ,The track XXX was by who?                                              ,
P1196      ,manner of death                                 ,Was the death of XXX an accident or suicide?                           ,La morte di XXX è stata un incidente o un suicidio?
P1196      ,manner of death                                 ,What cause of death was listed for XXX?                                ,Quale causa della morte è stata elencata per XXX?
P1196      ,manner of death                                 ,"In one word, how did XXX die?"                                        ,"In una parola, come è morto XXX?"                                        ,"In una parola, come è morto XXX?"
P176       ,manufacturer                                    ,Which corporation was XXX created by?                                  ,
P176       ,manufacturer                                    ,Who made XXX?                                                          ,Chi ha creato YYY XXX?
P176       ,manufacturer                                    ,Which is the manufacturer of XXX?                                      ,Qual è il produttore diYYY XXX?
P176       ,manufacturer                                    ,Which was the manufacturer of XXX?                                     ,Qual è stato il produttore diYYY XXX?
P176       ,manufacturer                                    ,Which corporation created XXX?                                         ,Quale azienda ha creato YYY XXX?
P176       ,manufacturer                                    ,Which company manufactured XXX?                                        ,Quale azienda ha prodotto YYY XXX?
P176       ,manufacturer                                    ,What company built XXX?                                                ,Quale azienda ha creato YYY XXX?
P176       ,manufacturer                                    ,The XXX was produced by whom?                                          ,
P176       ,manufacturer                                    ,Which company is known as the manufacturer of XXX?                     ,Quale azienda è conosciuta come il produttore diYYY XXX?
P176       ,manufacturer                                    ,What company manufactures XXX?                                         ,Quale azienda produce YYY XXX?
P176       ,manufacturer                                    ,What company makes XXX?                                                ,
P176       ,manufacturer                                    ,The manufacturer of XXX was who?                                       ,
P176       ,manufacturer                                    ,"By which company, XXX has been manufactured?"                         ,"Con quale società, XXX è stato fabbricato?"                              ,
P186       ,material used                                   ,What material was used for XXX?                                        ,
P186       ,material used                                   ,What is the surface of XXX made of?                                    ,
P1050      ,medical condition                               ,What medical condition did XXX have at the end of his life?            ,Quali erano le condizioni mediche di XXX alla fine/termine della sua vita?
P1050      ,medical condition                               ,What disease caused the death of XXX?                                  ,Quale malattia ha causato la morte di XXX?
P1050      ,medical condition                               ,What was XXX's medical condition near the end of his life?             ,Qual era la condizione medica di XXX verso la fine della sua vita?
P1050      ,medical condition                               ,Which medical condition does XXX suffer from?                          ,Di quali condizioni mediche soffre XXX?
P1050      ,medical condition                               ,What illness did XXX suffer from?                                      ,Di quale malattia ha sofferto XXX?
P1050      ,medical condition                               ,What medical condition did XXX have?                                   ,Quali erano le condizioni mediche di XXX?
P1050      ,medical condition                               ,What medical condition does XXX have?                                  ,Quali sono le condizioni mediche di XXX?
P1050      ,medical condition                               ,What led to XXX's death?                                               ,Cosa ha portato alla morte di XXX?
P1050      ,medical condition                               ,What was the sickness that killed XXX?                                 ,Qual è stata la malattia che ha ucciso XXX?
P1050      ,medical condition                               ,What disease did XXX contract?                                         ,Che malattia ha contratto XXX?
P1050      ,medical condition                               ,What illness negatively impacted XXX?                                  ,Quale malattia ha avuto un impatto negativo su XXX?
P1050      ,medical condition                               ,What disease was a factor in the death of XXX?                         ,Quale malattia è stata un fattore nella morte di XXX?
P1050      ,medical condition                               ,What disease did XXX suffer from?                                      ,Di quale malattia ha sofferto XXX?
P1050      ,medical condition                               ,What diseased did XXX struggle with?                                   ,Con quale malattia ha lottato XXX?
P1050      ,medical condition                               ,Which medical condition afflicts XXX?                                  ,Quale condizione medica affligge XXX?
P1050      ,medical condition                               ,What medical condition was XXX suffering from?                         ,Di quale condizione medica soffriva XXX?
P102       ,member of political party                       ,What political party is XXX part of?                                   ,Di quale partito politico fa parte XXX?
